name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ha noi,2000-01-01,23.1,17.2,19.4,23.1,17.2,19.4,17.9,91.8,0,0,0,,,,,10.8,110,1015.8,63.6,4.4,,,,,2000-01-01T06:33:30,2000-01-01T17:26:01,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48820099999"
ha noi,2000-01-02,24.1,16.7,20.1,24.1,16.7,20.1,18.2,89.6,0,0,0,,,,,14.4,263.5,1016.5,52.3,4.3,,,,,2000-01-02T06:33:50,2000-01-02T17:26:39,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48820099999,48831099999"
ha noi,2000-01-03,24.1,16.9,19.4,24.1,16.9,19.4,17.6,90.3,0,0,0,,,,,14.4,127.8,1013.8,39.5,2.1,,,,,2000-01-03T06:34:08,2000-01-03T17:27:16,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48823099999,48820099999"
ha noi,2000-01-04,22.3,17.1,19.9,22.3,17.1,19.9,18.4,91,0,0,0,,,,,21.6,80.4,1012,72.4,3.8,,,,,2000-01-04T06:34:26,2000-01-04T17:27:55,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48820099999"
ha noi,2000-01-05,24.1,19.2,21.9,24.1,19.2,21.9,20.3,91.2,0,0,0,,,,,18,141.2,1010.6,90.1,4.9,,,,,2000-01-05T06:34:42,2000-01-05T17:28:33,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"48823099999,48820099999"
ha noi,2000-01-06,26.1,20.2,23,26.1,20.2,23,20.5,86.5,0,0,0,,,,,21.6,146.6,1010.8,69.2,7.6,,,,,2000-01-06T06:34:57,2000-01-06T17:29:12,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48820099999"
ha noi,2000-01-07,23.1,19.2,21,23.1,19.2,21,19.7,92.7,0,0,0,,,,,18,124,1013.3,84.9,5,,,,,2000-01-07T06:35:11,2000-01-07T17:29:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999"
ha noi,2000-01-08,24.1,19.1,21.7,24.1,19.1,21.7,20.4,92.7,0.7,100,4.17,rain,,,,21.6,141,1010.5,92.2,5.8,,,,,2000-01-08T06:35:24,2000-01-08T17:30:31,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48823099999,48820099999"
ha noi,2000-01-09,26.1,20.1,22.3,26.1,20.1,22.3,21.1,93.2,0,0,0,,,,,25.2,141.4,1011.3,93.6,5.5,,,,,2000-01-09T06:35:35,2000-01-09T17:31:11,0.08,Overcast,Cloudy skies throughout the day.,cloudy,"48823099999,48820099999"
ha noi,2000-01-10,25.1,20,22,25.1,20,22,20.9,93.8,0.5,100,4.17,rain,,,,25.2,127.5,1010.9,90.1,5.7,,,,,2000-01-10T06:35:45,2000-01-10T17:31:51,0.12,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48823099999,48820099999"
