date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,17.3,12,24,,,,7,,,
2015-01-02,16.6,11,22,,,,7.1,,,
2015-01-03,17.7,13,21,,,,7.7,,,
2015-01-04,19.8,17,22,,,93,13.4,,,
2015-01-05,20.8,,,,,,,,,
2015-01-06,21.8,20,23,,,,7.6,,,
2015-01-07,17.9,17,22,,,,17.5,,,
2015-01-08,15.4,15,17,,,356,12.4,,,
2015-01-09,13.3,12,16,,,356,13.5,,,
2015-01-10,12.1,12,13,,,,8.7,,,
2015-01-11,13.2,12,15,,,,7.4,,,
2015-01-12,14.8,12,20,,,,7.6,,,
2015-01-13,14.6,9,20,,,,5.7,,,
2015-01-14,14.6,10,20,,,,7.3,,,
2015-01-15,15.3,10,21,,,,7.6,,,
2015-01-16,15.6,11,22,,,,7.4,,,
2015-01-17,16.9,11,22,,,348,7.6,,,
2015-01-18,18.3,12,23,,,,6.4,,,
2015-01-19,17.4,15,22,,,,7.9,,,
2015-01-20,17.1,13,22,,,,6.5,,,
2015-01-21,18.1,14,23,,,,7.6,,,
2015-01-22,19.2,13,24,,,,8.6,,,
2015-01-23,20.1,16,24,,,104,17.1,,,
2015-01-24,21.7,17,26,,,106,15.9,,,
2015-01-25,21.7,20,27,,,113,16.3,,,
2015-01-26,21.4,19,26,,,104,15,,,
2015-01-27,21.6,19,25,,,111,18.3,,,
2015-01-28,22.1,20,26,,,113,19.2,,,
2015-01-29,22.1,21,25,,,111,19.3,,,
2015-01-30,16.9,15,21,,,71,19.6,,,
2015-01-31,12.9,12,15,,,38,19.3,,,
2015-02-01,12.9,12,13,,,12,11.7,,,
2015-02-02,14.7,13,16,,,,7,,,
2015-02-03,16.8,15,18,,,,4.7,,,
2015-02-04,13.6,13,17,,,33,16.4,,,
2015-02-05,12.7,11,15,,,3,14.6,,,
2015-02-06,13.9,12,17,,,,6.5,,,
2015-02-07,13.9,13,15,,,,8.2,,,
2015-02-08,15.8,13,19,,,,8.8,,,
2015-02-09,15.7,13,17,,,,5.3,,,
2015-02-10,16,15,18,,,,7.7,,,
2015-02-11,15.4,14,17,,,6,11.6,,,
2015-02-12,18.7,15,22,,,,7,,,
2015-02-13,17.6,17,19,,,52,10.2,,,
2015-02-14,17.2,16,18,,,,5.3,,,
2015-02-15,20.9,17,23,,,,7.1,,,
2015-02-16,21.3,20,25,,,,8.9,,,
2015-02-17,21.2,18,23,,,,9.9,,,
2015-02-18,21.2,20,24,,,103,13.1,,,
2015-02-19,21.6,20,24,,,113,15.2,,,
2015-02-20,22.7,21,26,,,106,18.9,,,
2015-02-21,23.8,21,27,,,105,17,,,
2015-02-22,23.3,22,26,,,107,13.2,,,
2015-02-23,23.9,22,27,,,103,14.8,,,
2015-02-24,24.8,22,29,,,115,16.3,,,
2015-02-25,25.1,22,29,,,113,19.1,,,
2015-02-26,24.7,23,28,,,113,19,,,
2015-02-27,24.6,23,27,,,105,18.1,,,
2015-02-28,25.1,23,29,,,118,17.4,,,
2015-03-01,19.7,19,24,,,69,16.7,,,
2015-03-02,19.1,17,20,,,116,16.1,,,
2015-03-03,21.9,20,25,,,,13.3,,,
2015-03-04,18.8,18,20,,,57,12.4,,,
2015-03-05,19.9,18,21,,,,7.4,,,
2015-03-06,17.1,16,20,,,,13.2,,,
2015-03-07,16.3,16,17,,,41,13.2,,,
2015-03-08,19.1,16,20,,,,5.3,,,
2015-03-09,20.3,20,21,,,,7.9,,,
2015-03-10,18.9,18,21,,,39,11.8,,,
2015-03-11,16.9,16,19,,,40,16.7,,,
2015-03-12,16.1,15,17,,,35,12.6,,,
2015-03-13,17.7,15,18,,,,7.1,,,
2015-03-14,20.4,18,22,,,,8.3,,,
2015-03-15,23.3,20,25,,,,8.7,,,
2015-03-16,24.3,23,27,,,105,15.1,,,
2015-03-17,25.6,23,29,,,95,16.4,,,
2015-03-18,26.4,24,30,,,83,13.1,,,
2015-03-19,25.9,25,30,,,99,15.9,,,
2015-03-20,24.5,24,26,,,110,12.5,,,
2015-03-21,24.3,23,27,,,98,10.8,,,
2015-03-22,23.2,22,27,,,109,13.5,,,
2015-03-23,23,21,25,,,74,11.8,,,
2015-03-24,19.5,19,23,,,,12.1,,,
2015-03-25,19.7,18,21,,,,8.8,,,
2015-03-26,20.8,19,22,,,,5.9,,,
2015-03-27,22.2,20,24,,,,6.5,,,
2015-03-28,23.4,21,27,,,94,11.7,,,
2015-03-29,24.9,22,29,,,113,16.7,,,
2015-03-30,26.3,23,30,,,116,16.2,,,
2015-03-31,26.6,24,30,,,109,18.3,,,
2015-04-01,26.7,25,30,,,103,18.8,,,
2015-04-02,27.6,24,33,,,87,15.1,,,
